House,Region,SwornTo_BefADWD,SwornTo_AftADWD
House Targaryen,Crownlands,Great House,Great House
House Baratheon,Crownlands,Great House,Great House
House Stark,North,Great House,House Bolton
House Bolton,North,House Stark,Great House
House Royce,Vale of Arryn,Great House,Great House
House Arryn,Vale of Arryn,Great House,Great House
House Lannister,Westerlands,Great House,Great House
House Gardener,Reach,Great House,Great House
House Tyrell,Reach,Great House,Great House
House Greyiron,Iron Islands,Great House,Great House
House Hoare,Iron Islands,Great House,Great House
House Greyjoy,Iron Islands,Great House,Great House
House Fisher,Riverlands,Great House,Great House
House Blackwood,Riverlands,Great House,Great House
House Bracken,Riverlands,Great House,Great House
House Mudd,Riverlands,Great House,Great House
House Justman,Riverlands,Great House,Great House
House Teague,Riverlands,Great House,Great House
House Durrandon,Riverlands,Great House,Great House
House Mallister,Riverlands,Great House,Great House
House Nutt,Riverlands,Great House,Great House
House Tully,Riverlands,Great House,Great House
House Baelish,Riverlands,Great House,Great House
House Yronwood,Dorne,Great House,Great House
House Martell,Dorne,Great House,Great House
House Blount,Crownlands,House Baratheon,House Baratheon
House Buckwell,Crownlands,House Baratheon,House Baratheon
House Byrch,Crownlands,House Baratheon,House Baratheon
House Bywater,Crownlands,House Baratheon,House Baratheon
House Chelsted,Crownlands,House Baratheon,House Baratheon
House Chyttering,Crownlands,House Baratheon,House Baratheon
House Cressey,Crownlands,House Baratheon,House Baratheon
House Darke,Crownlands,House Baratheon,House Baratheon
House Edgerton,Crownlands,House Baratheon,House Baratheon
House Farring,Crownlands,House Baratheon,House Baratheon
House Follard,Crownlands,House Baratheon,House Baratheon
House Gaunt,Crownlands,House Baratheon,House Baratheon
House Harte,Crownlands,House Baratheon,House Baratheon
House Hayford,Crownlands,House Baratheon,House Baratheon
House Langward,Crownlands,House Baratheon,House Baratheon
House Mallery,Crownlands,House Baratheon,House Baratheon
House Manning,Crownlands,House Baratheon,House Baratheon
House Massey,Crownlands,House Baratheon,House Baratheon
House Pyle,Crownlands,House Baratheon,House Baratheon
House Rambton,Crownlands,House Baratheon,House Baratheon
House Rollingford,Crownlands,House Baratheon,House Baratheon
House Rosby,Crownlands,House Baratheon,House Baratheon
House Rykker,Crownlands,House Baratheon,House Baratheon
House Staunton,Crownlands,House Baratheon,House Baratheon
House Stokeworth,Crownlands,House Baratheon,House Baratheon
House Thorne,Crownlands,House Baratheon,House Baratheon
House Wendwater,Crownlands,House Baratheon,House Baratheon
House Brune,Crownlands,House Baratheon,House Baratheon
House Hogg,Crownlands,House Baratheon,House Baratheon
House Bar Emmon,Crownlands,House Baratheon,House Baratheon
House Celtigar,Crownlands,House Baratheon,House Baratheon
House Sunglass,Crownlands,House Baratheon,House Baratheon
House Velaryon,Crownlands,House Baratheon,House Baratheon
House Cave,Crownlands,House Baratheon,House Baratheon
House Crabb,Crownlands,House Baratheon,House Baratheon
House Hardy,Crownlands,House Baratheon,House Baratheon
House Pyne,Crownlands,House Baratheon,House Baratheon
House Dargood,Crownlands,House Baratheon,House Baratheon
House Darkwood,Crownlands,House Baratheon,House Baratheon
House Hollard,Crownlands,House Baratheon,House Baratheon
House Largent,Crownlands,House Baratheon,House Baratheon
House Longwaters,Crownlands,House Baratheon,House Baratheon
House Scales,Crownlands,House Baratheon,House Baratheon
House Kettleblack,Crownlands,House Baratheon,House Baratheon
House Blackfyre,Crownlands,House Baratheon,House Baratheon
House Cargyll,Crownlands,House Baratheon,House Baratheon
House Darklyn,Crownlands,House Baratheon,House Baratheon
House Ashwood,North,House Stark,House Bolton
House Bole,North,House Stark,House Bolton
House Branch,North,House Stark,House Bolton
House Cassel,North,House Stark,House Bolton
House Cerwyn,North,House Stark,House Bolton
House Condon,North,House Stark,House Bolton
House Dustin,North,House Stark,House Bolton
House Flint,North,House Stark,House Bolton
House Forrester,North,House Stark,House Bolton
House Holt,North,House Stark,House Bolton
House Hornwood,North,House Stark,House Bolton
House Ironsmith,North,House Stark,House Bolton
House Karstark,North,House Stark,House Bolton
House Lake,North,House Stark,House Bolton
House Lightfoot,North,House Stark,House Bolton
House Locke,North,House Stark,House Bolton
House Long,North,House Stark,House Bolton
House Manderly,North,House Stark,House Bolton
House Marsh,North,House Stark,House Bolton
House Mollen,North,House Stark,House Bolton
House Mormont,North,House Stark,House Bolton
House Moss,North,House Stark,House Bolton
House Overton,North,House Stark,House Bolton
House Poole,North,House Stark,House Bolton
House Reed,North,House Stark,House Bolton
House Ryswell,North,House Stark,House Bolton
House Slate,North,House Stark,House Bolton
House Stout,North,House Stark,House Bolton
House Thenn,North,House Stark,House Bolton
House Towers,North,House Stark,House Bolton
House Umber,North,House Stark,House Bolton
House Waterman,North,House Stark,House Bolton
House Wells,North,House Stark,House Bolton
House Whitehill,North,House Stark,House Bolton
House Woods,North,House Stark,House Bolton
House Woolfield,North,House Stark,House Bolton
House Glover,North,House Stark,House Bolton
House Tallhart,North,House Stark,House Bolton
House Blackmyre,North,House Stark,House Bolton
House Boggs,North,House Stark,House Bolton
House Cray,North,House Stark,House Bolton
House Fenn,North,House Stark,House Bolton
House Greengood,North,House Stark,House Bolton
House Peat,North,House Stark,House Bolton
House Quagg,North,House Stark,House Bolton
House Burley,North,House Stark,House Bolton
House Harclay,North,House Stark,House Bolton
House Knott,North,House Stark,House Bolton
House Liddle,North,House Stark,House Bolton
House Norrey,North,House Stark,House Bolton
House Wull,North,House Stark,House Bolton
House Crowl,North,House Stark,House Bolton
House Magnar,North,House Stark,House Bolton
House Stane,North,House Stark,House Bolton
House Amber,North,House Stark,House Bolton
House Greenwood,North,House Stark,House Bolton
House Frost,North,House Stark,House Bolton
House Greystark,North,House Stark,House Bolton
House Ryder,North,House Stark,House Bolton
House Woodfoot,North,House Stark,House Bolton
House Belmore,Vale of Arryn,House Arryn,House Arryn
House Breakstone,Vale of Arryn,House Arryn,House Arryn
House Coldwater,Vale of Arryn,House Arryn,House Arryn
House Corbray,Vale of Arryn,House Arryn,House Arryn
House Crayne,Vale of Arryn,House Arryn,House Arryn
House Donnerly,Vale of Arryn,House Arryn,House Arryn
House Donniger,Vale of Arryn,House Arryn,House Arryn
House Dutton,Vale of Arryn,House Arryn,House Arryn
House Egen,Vale of Arryn,House Arryn,House Arryn
House Elesham,Vale of Arryn,House Arryn,House Arryn
House Grafton,Vale of Arryn,House Arryn,House Arryn
House Hersy,Vale of Arryn,House Arryn,House Arryn
House Hunter,Vale of Arryn,House Arryn,House Arryn
House Lipps,Vale of Arryn,House Arryn,House Arryn
House Lynderly,Vale of Arryn,House Arryn,House Arryn
House Melcolm,Vale of Arryn,House Arryn,House Arryn
House Pryor,Vale of Arryn,House Arryn,House Arryn
House Redfort,Vale of Arryn,House Arryn,House Arryn
House Ruthermont,Vale of Arryn,House Arryn,House Arryn
House Tollett,Vale of Arryn,House Arryn,House Arryn
House Upcliff,Vale of Arryn,House Arryn,House Arryn
House Waynwood,Vale of Arryn,House Arryn,House Arryn
House Hardyng,Vale of Arryn,House Arryn,House Arryn
House Moore,Vale of Arryn,House Arryn,House Arryn
House Shett,Vale of Arryn,House Arryn,House Arryn
House Templeton,Vale of Arryn,House Arryn,House Arryn
House Waxley,Vale of Arryn,House Arryn,House Arryn
House Woodhull,Vale of Arryn,House Arryn,House Arryn
House Wydman,Vale of Arryn,House Arryn,House Arryn
House Borrell,Vale of Arryn,House Arryn,House Arryn
House Longthorpe,Vale of Arryn,House Arryn,House Arryn
House Sunderland,Vale of Arryn,House Arryn,House Arryn
House Torrent,Vale of Arryn,House Arryn,House Arryn
House Shell,Vale of Arryn,House Arryn,House Arryn
House Brightstone,Vale of Arryn,House Arryn,House Arryn
House Algood,Westerlands,House Lannister,House Lannister
House Banefort,Westerlands,House Lannister,House Lannister
House Bettley,Westerlands,House Lannister,House Lannister
House Brax,Westerlands,House Lannister,House Lannister
House Broom,Westerlands,House Lannister,House Lannister
