"Name","Novels","Comics","TVshow","Mean"
"Tyrion Lannister",0.762135922330097,1,0.859399684044234,0.873845202124777
"Jon Snow",0.567961165048544,0.779411764705882,1,0.782457643251475
"Arya Stark",0.669902912621359,0.882352941176471,0.568720379146919,0.70699207764825
"Daenerys Targaryen",0.310679611650485,0.75,0.807266982622433,0.622648864757639
"Sansa Stark",0.699029126213592,0.573529411764706,0.551342812006319,0.607967116661539
"Eddard Stark",1,0.642156862745098,0.135860979462875,0.592672614069324
"Cersei Lannister",0.859223300970874,0.299019607843137,0.524486571879937,0.560909826897983
"Catelyn Stark",0.66504854368932,0.803921568627451,0.146919431279621,0.538629847865464
"Bran Stark",0.563106796116505,0.632352941176471,0.391785150078989,0.529081629123988
"Aerys II Targaryen",0.466019417475728,NA,NA,0.466019417475728
"Jaime Lannister",0.752427184466019,0.107843137254902,0.52132701421801,0.460532445312977
"Robb Stark",0.888349514563107,0.28921568627451,0.139020537124803,0.43886191265414
"Joffrey Baratheon",0.766990291262136,0.240196078431373,0.187993680884676,0.398393350192728
"Robert I Baratheon",0.922330097087379,0.151960784313725,0.028436018957346,0.367575633452817
"Theon Greyjoy",0.310679611650485,0.416666666666667,0.282780410742496,0.336708896353216
"Tywin Lannister",0.733009708737864,0.0931372549019608,0.143759873617694,0.323302279085839
"Sandor Clegane",0.422330097087379,0.191176470588235,0.341232227488152,0.318246265054589
"Stannis Baratheon",0.713592233009709,0.0735294117647059,0.14218009478673,0.309767246520382
"Jorah Mormont",0.199029126213592,0.323529411764706,0.406003159557662,0.30952056584532
"Varys",0.388349514563107,0.181372549019608,0.306477093206951,0.292066385596555
"Petyr Baelish",0.354368932038835,0.264705882352941,0.191153238546603,0.270076017646127
"Samwell Tarly",0.199029126213592,0.181372549019608,0.371248025276461,0.250549900169887
"Brienne of Tarth",0.16504854368932,NA,0.292259083728278,0.228653813708799
"Renly Baratheon",0.470873786407767,0.166666666666667,0.033175355450237,0.22357193617489
"Drogon",NA,0.132352941176471,0.306477093206951,0.219415017191711
"Tormund",0.0825242718446602,NA,0.339652448657188,0.211088360250924
"Bronn",0.194174757281553,0.220588235294118,0.208530805687204,0.207764599420958
"Davos Seaworth",0.116504854368932,0.0833333333333333,0.404423380726698,0.201420522809655
"Tommen Baratheon",0.398058252427184,0.0490196078431373,0.140600315955766,0.195892725408696
"Aemon Targaryen",0.189320388349515,NA,NA,0.189320388349515
"Missandei",0.0825242718446602,NA,0.290679304897314,0.186601788370987
"Ghost",NA,0.28921568627451,0.0805687203791469,0.184892203326828
"Aegon Targaryen (son of Rhaegar)",0.184466019417476,NA,NA,0.184466019417476
"Gregor Clegane",0.330097087378641,0.0441176470588235,0.143759873617694,0.172658202685053
"Barristan Selmy",0.281553398058252,0.112745098039216,0.121642969984202,0.17198048869389
"Grey Worm",0.0631067961165049,NA,0.278041074249605,0.170573935183055
"Rickon Stark",0.344660194174757,0.107843137254902,0.0537124802527646,0.168738603894141
"Luwin",0.218446601941748,0.240196078431373,0.0458135860979463,0.168152088823689
"Pycelle",0.252427184466019,0.137254901960784,0.113744075829384,0.167808720752063
"Gendry",0.145631067961165,0.176470588235294,0.17693522906793,0.166345628421463
"Summer",NA,0.245098039215686,0.0647709320695103,0.154934485642598
"Jeor Mormont",0.271844660194175,0.142156862745098,0.0473933649289099,0.153798295956061
"Mance Rayder",0.276699029126214,NA,0.0268562401263823,0.151777634626298
"Rodrik Cassel",0.218446601941748,0.186274509803922,0.0489731437598736,0.151231418501848
"Roose Bolton",0.339805825242718,0.0392156862745098,0.0726698262243286,0.150563779247186
"Jon Arryn",0.296116504854369,NA,0.00157977883096367,0.148848141842666
"Margaery Tyrell",0.218446601941748,0.0245098039215686,0.197472353870458,0.146809586577925
"Loras Tyrell",0.281553398058252,0.0637254901960784,0.0868878357030016,0.144055574652444
"Aemon Targaryen (son of Viserys II)",0.140776699029126,NA,NA,0.140776699029126
"Paxter Redwyne",0.140776699029126,NA,NA,0.140776699029126
"Meryn Trant",0.266990291262136,0.0882352941176471,0.0663507109004739,0.140525432093419
"Podrick Payne",0.135922330097087,0.053921568627451,0.229067930489731,0.139637276404757
"Rhaegar Targaryen",0.378640776699029,0.0343137254901961,0.00157977883096367,0.138178093673396
"Ramsay Snow",0.20873786407767,0.0735294117647059,0.127962085308057,0.136743120383478
