"Name","Novels","TVshow","Mean"
"Tyrion Lannister",0.107085775173149,0.284210526315789,0.195648150744469
"Jon Snow",0.112946190729888,0.273684210526316,0.193315200628102
"Arya Stark",0.0927011188066063,0.242105263157895,0.167403190982251
"Jaime Lannister",0.110815130527437,0.214035087719298,0.162425109123368
"Catelyn Stark",0.105487480021311,0.214035087719298,0.159761283870304
"Sansa Stark",0.079914757591902,0.23859649122807,0.159255624409986
"Cersei Lannister",0.0809802876931273,0.214035087719298,0.147507687706213
"Theon Greyjoy",0.0873734683004795,0.192982456140351,0.140177962220415
"Robb Stark",0.08151305274374,0.192982456140351,0.137247754442045
"Eddard Stark",0.0713905167820991,0.182456140350877,0.126923328566488
"Joffrey Baratheon",0.0607352157698455,0.192982456140351,0.126858835955098
"Summer",NA,0.126315789473684,0.126315789473684
"Petyr Baelish",0.0591369206180075,0.189473684210526,0.124305302414267
"Sandor Clegane",0.0420884389984017,0.196491228070175,0.119289833534289
"Bronn",0.0522109749600426,0.185964912280702,0.119087943620372
"Bran Stark",0.0543420351624933,0.175438596491228,0.114890315826861
"Ghost",NA,0.112280701754386,0.112280701754386
"Samwell Tarly",0.0522109749600426,0.164912280701754,0.108561627830899
"Barristan Selmy",0.0783164624400639,0.133333333333333,0.105824897886699
"Tommen Baratheon",0.0447522642514651,0.16140350877193,0.103077886511697
"Tywin Lannister",0.0756526371870005,0.126315789473684,0.100984213330342
"Rodrik Cassel",0.0383590836441129,0.157894736842105,0.0981269102431091
"Daenerys Targaryen",0.0522109749600426,0.143859649122807,0.0980353120414248
"Pycelle",0.0426212040490144,0.140350877192982,0.0914860406209984
"Olly",NA,0.0912280701754386,0.0912280701754386
"Varys",0.0447522642514651,0.136842105263158,0.0907971847573115
"Loras Tyrell",0.0522109749600426,0.126315789473684,0.0892633822168634
"Janos Slynt",0.0335641981885988,0.143859649122807,0.0887119236557029
"Eddison Tollett",0.0436867341502397,0.133333333333333,0.0885100337417865
"Jorah Mormont",0.0394246137453383,0.136842105263158,0.0881333595042481
"Drogon",NA,0.087719298245614,0.087719298245614
"Robert I Baratheon",0.0538092701118807,0.119298245614035,0.0865537578629579
"Brienne of Tarth",0.0554075652637187,0.115789473684211,0.0855985194739646
"Meryn Trant",0.0330314331379861,0.136842105263158,0.084936769200572
"Myrcella Baratheon",0.0298348428343101,0.133333333333333,0.0815840880838217
"Stannis Baratheon",0.0633990410229089,0.0982456140350877,0.0808223275289983
"Grey Wind",NA,0.0807017543859649,0.0807017543859649
"Hodor",0.0239744272775706,0.133333333333333,0.078653880305452
"Locke",NA,0.0771929824561404,0.0771929824561404
"Rhaegal",NA,0.0771929824561404,0.0771929824561404
"Viserion",NA,0.0771929824561404,0.0771929824561404
"Podrick Payne",0.0346297282898242,0.119298245614035,0.0769639869519296
"Aemon Targaryen (son of Maekar I)",NA,0.0736842105263158,0.0736842105263158
"Grenn",0.0372935535428876,0.101754385964912,0.0695239697538999
"Roose Bolton",0.0479488545551412,0.087719298245614,0.0678340764003776
"Davos Seaworth",0.0372935535428876,0.0982456140350877,0.0677695837889876
"Jory Cassel",0.0223761321257326,0.112280701754386,0.0673284169400593
"Renly Baratheon",0.0426212040490144,0.0912280701754386,0.0669246371122265
"Melisandre",0.0388918486947256,0.0947368421052632,0.0668143453999944
"Talisa Stark",NA,0.0666666666666667,0.0666666666666667
"Luwin",0.0314331379861481,0.101754385964912,0.0665937619755302
"Tormund",0.0207778369738945,0.112280701754386,0.0665292693641402
"Margaery Tyrell",0.0410229088971763,0.0912280701754386,0.0661254895363075
"Gilly",0.0159829515183804,0.112280701754386,0.0641318266363832
"Gregor Clegane",0.0261054874800213,0.101754385964912,0.0639299367224668
"Rickon Stark",0.0229088971763452,0.101754385964912,0.0623316415706288
"Ellaria Sand",0.0255727224294086,0.0982456140350877,0.0619091682322482
"Yoren",0.0255727224294086,0.0982456140350877,0.0619091682322482
"Alliser Thorne",0.0303676078849227,0.0912280701754386,0.0607978390301807
"Oberyn Martell",0.0404901438465637,0.0807017543859649,0.0605959491162643
"Ros",NA,0.0596491228070175,0.0596491228070175
"Gendry",0.0426212040490144,0.0736842105263158,0.0581527072876651
"Lancel Lannister",0.0319659030367608,0.0807017543859649,0.0563338287113628
"Lady",NA,0.056140350877193,0.056140350877193
"Nymeria (direwolf)",NA,0.056140350877193,0.056140350877193
"Olyvar",NA,0.056140350877193,0.056140350877193
"Shaggydog",NA,0.056140350877193,0.056140350877193
"Mace Tyrell",0.0277037826318593,0.0842105263157895,0.0559571544738244
"Jeor Mormont",0.0436867341502397,0.0666666666666667,0.0551767004084532
"Pypar",0.0340969632392115,0.0701754385964912,0.0521362009178514
"Mordane",0.0111880660628663,0.0912280701754386,0.0512080681191524
"Edmure Tully",0.0500799147575919,0.0491228070175439,0.0496013608875679
"Walder Frey",0.0479488545551412,0.0491228070175439,0.0485358307863425
"Hosteen Frey",0.0479488545551412,NA,0.0479488545551412
"Olenna Redwyne",0.0175812466702184,0.0771929824561404,0.0473871145631794
"Ilyn Payne",0.0303676078849227,0.0631578947368421,0.0467627513108824
"Shae",0.0127863612147043,0.0807017543859649,0.0467440578003346
"Kovarro",NA,0.0456140350877193,0.0456140350877193
"Othell Yarwyck",0.0165157165689931,0.0736842105263158,0.0450999635476544
"Kevan Lannister",0.0367607884922749,0.0526315789473684,0.0446961837198217
"Rickard Karstark",0.0223761321257326,0.0666666666666667,0.0445213993961996
"Walder Frey (son of Merrett)",0.0442194992008524,NA,0.0442194992008524
"Irri",0.025039957378796,0.0631578947368421,0.044098926057819
"Mance Rayder",0.0303676078849227,0.056140350877193,0.0432539793810579
"Selyse Florent",0.026638252530634,0.0596491228070175,0.0431436876688258
"Missandei",0.0229088971763452,0.0631578947368421,0.0430333959565937
"Rast",0.0053276505061268,0.0807017543859649,0.0430147024460459
"Brynden Tully",0.0356952583910495,0.0491228070175439,0.0424090327042967
"Benjen Stark",0.0181140117208311,0.0666666666666667,0.0423903391937489
"Ygritte",0.0175812466702184,0.0666666666666667,0.0421239566684425
"Alton Lannister",NA,0.0421052631578947,0.0421052631578947
"Walder Rivers",0.041555673947789,0.0421052631578947,0.0418304685528419
"Qyburn",0.0271710175812467,0.056140350877193,0.0416556842292198
"Bowen Marsh",0.0378263185935003,0.0421052631578947,0.0399657908756975
"Aenys Frey",0.039957378795951,NA,0.039957378795951
"Walder Frey (son of Jammos)",0.039957378795951,NA,0.039957378795951
"Asha Greyjoy",0.0394246137453383,NA,0.0394246137453383
"Jalabhar Xho",0.0394246137453383,NA,0.0394246137453383
"Lothar Frey",0.0362280234416622,0.0421052631578947,0.0391666432997785
"Joyeuse Erenford",0.0287693127330847,0.0491228070175439,0.0389460598753143
"Doreah",0.0111880660628663,0.0666666666666667,0.0389273663647665
"Gyles Rosby",0.0388918486947256,NA,0.0388918486947256
"High Sparrow",NA,0.0385964912280702,0.0385964912280702
"Robin Arryn",NA,0.0385964912280702,0.0385964912280702
"Sissy",NA,0.0385964912280702,0.0385964912280702
"Edwyn Frey",0.0372935535428876,NA,0.0372935535428876
"Walder Frey (son of Ryman)",0.0372935535428876,NA,0.0372935535428876
"Osha",0.014917421417155,0.0596491228070175,0.0372832721120863
"Ramsay Snow",0.0356952583910495,0.0385964912280702,0.0371458748095599
"Amerei Frey",0.0367607884922749,NA,0.0367607884922749
"Hot Pie",0.0202450719232818,0.0526315789473684,0.0364383254353251
"Ryman Frey",0.0362280234416622,NA,0.0362280234416622
"Dontos Hollard",0.0197123068726692,0.0526315789473684,0.0361719429100188
"Drogo",0.0122535961640916,0.0596491228070175,0.0359513594855546
"Aerys II Targaryen",0.0356952583910495,NA,0.0356952583910495
"Perwyn Frey",0.0356952583910495,NA,0.0356952583910495
"Rakharo",0.0186467767714438,0.0526315789473684,0.0356391778594061
"Grey Worm",0.014917421417155,0.056140350877193,0.035528886147174
"Cleos Frey",0.0351624933404369,NA,0.0351624933404369
"Daisy",NA,0.0350877192982456,0.0350877192982456
"Karsi",NA,0.0350877192982456,0.0350877192982456
"Roslin Frey",0.0314331379861481,0.0385964912280702,0.0350148146071091
"Shireen Baratheon",0.0197123068726692,0.0491228070175439,0.0344175569451065
"Jojen Reed",0.0159829515183804,0.0526315789473684,0.0343072652328744
"Meera Reed",0.0159829515183804,0.0526315789473684,0.0343072652328744
"Balon Swann",0.0340969632392115,NA,0.0340969632392115
"Danwell Frey",0.0340969632392115,NA,0.0340969632392115
"Harwin",0.0340969632392115,NA,0.0340969632392115
"Horas Redwyne",0.0335641981885988,NA,0.0335641981885988
"Victarion Greyjoy",0.0335641981885988,NA,0.0335641981885988
"Jon Umber",0.0351624933404369,0.0315789473684211,0.033370720354429
"Clubfoot Karl",0.0175812466702184,0.0491228070175439,0.0333520268438811
"Viserys Targaryen",0.0175812466702184,0.0491228070175439,0.0333520268438811
"Daario Naharis",0.0170484816196058,0.0491228070175439,0.0330856443185748
"Merrett Frey",0.0330314331379861,NA,0.0330314331379861
"Petyr Frey",0.0324986680873735,NA,0.0324986680873735
"Doran Martell",0.0330314331379861,0.0315789473684211,0.0323051902532036
"Aemon Targaryen",0.0314331379861481,NA,0.0314331379861481
"Hobber Redwyne",0.0314331379861481,NA,0.0314331379861481
"Satin",0.0314331379861481,NA,0.0314331379861481
"Jeyne Poole",0.0309003729355354,NA,0.0309003729355354
"Osmund Kettleblack",0.0309003729355354,NA,0.0309003729355354
"Lysa Arryn",0.0293020777836974,0.0315789473684211,0.0304405125760592
